Title,Description,FileName
Cars (multivariate),Raw.js Cars Example,raw_multivariate.csv
Cocktails (correlations),Raw.js Cocktails Example,raw_correlations.csv
Music (flows),Raw.js Music Example,raw_flows.csv
Movies (dispersions),Raw.js Movies Example,raw_dispersions.csv
AirPassengers,Monthly Airline Passenger Numbers 1949-1960,AirPassengers.csv
BJsales,Sales Data with Leading Indicator,BJsales.csv
BOD,Biochemical Oxygen Demand,BOD.csv
Formaldehyde,Determination of Formaldehyde,Formaldehyde.csv
HairEyeColor,Hair and Eye Color of Statistics Students,HairEyeColor.csv
InsectSprays,Effectiveness of Insect Sprays,InsectSprays.csv
JohnsonJohnson,Quarterly Earnings per Johnson & Johnson Share,JohnsonJohnson.csv
LakeHuron,Level of Lake Huron 1875-1972,LakeHuron.csv
LifeCycleSavings,Intercountry Life-Cycle Savings Data,LifeCycleSavings.csv
Nile,Flow of the River Nile,Nile.csv
OrchardSprays,Potency of Orchard Sprays,OrchardSprays.csv
PlantGrowth,Results from an Experiment on Plant Growth,PlantGrowth.csv
Puromycin,Reaction Velocity of an Enzymatic Reaction,Puromycin.csv
Titanic,Survival of passengers on the Titanic,Titanic.csv
ToothGrowth,The Effect of Vitamin C on Tooth Growth in Guinea Pigs,ToothGrowth.csv
UCBAdmissions,Student Admissions at UC Berkeley,UCBAdmissions.csv
UKDriverDeaths,Road Casualties in Great Britain 1969-84,UKDriverDeaths.csv
UKgas,UK Quarterly Gas Consumption,UKgas.csv
USAccDeaths,Accidental Deaths in the US 1973-1978,USAccDeaths.csv
USArrests,Violent Crime Rates by US State,USArrests.csv
USJudgeRatings,Lawyers' Ratings of State Judges in the US Superior Court,USJudgeRatings.csv
USPersonalExpenditure,Personal Expenditure Data,USPersonalExpenditure.csv
VADeaths,Death Rates in Virginia (1940),VADeaths.csv
WWWusage,Internet Usage per Minute,WWWusage.csv
WorldPhones,The World's Telephones,WorldPhones.csv
airmiles,"Passenger Miles on Commercial US Airlines, 1937-1960",airmiles.csv
airquality,New York Air Quality Measurements,airquality.csv
anscombe,Anscombe's Quartet of 'Identical' Simple Linear Regressions,anscombe.csv
attenu,The Joyner-Boore Attenuation Data,attenu.csv
attitude,The Chatterjee-Price Attitude Data,attitude.csv
austres,Quarterly Time Series of the Number of Australian Residents,austres.csv
cars,Speed and Stopping Distances of Cars,cars.csv
chickwts,Chicken Weights by Feed Type,chickwts.csv
co2,Mauna Loa Atmospheric CO2 Concentration,co2.csv
crimtab,Student's 3000 Criminals Data,crimtab.csv
discoveries,Yearly Numbers of Important Discoveries,discoveries.csv
esoph,"Smoking, Alcohol and (O)esophageal Cancer",esoph.csv
euro,Conversion Rates of Euro Currencies,euro.csv
faithful,Old Faithful Geyser Data,faithful.csv
freeny,Freeny's Revenue Data,freeny.csv
infert,Infertility after Spontaneous and Induced Abortion,infert.csv
iris,Edgar Anderson's Iris Data,iris.csv
